
EPOCH 1 OF 50 | VAL MEAN LOSS: 0.002615499310195446
EPOCH 2 OF 50 | VAL MEAN LOSS: 0.0025655014906078577
EPOCH 3 OF 50 | VAL MEAN LOSS: 0.0025646511930972338
EPOCH 4 OF 50 | VAL MEAN LOSS: 0.0025646938011050224
EPOCH 5 OF 50 | VAL MEAN LOSS: 0.002546022878959775
EPOCH 6 OF 50 | VAL MEAN LOSS: 0.002550506964325905
EPOCH 7 OF 50 | VAL MEAN LOSS: 0.0025361606385558844
EPOCH 8 OF 50 | VAL MEAN LOSS: 0.0025452503468841314
EPOCH 9 OF 50 | VAL MEAN LOSS: 0.002542467089369893
EPOCH 10 OF 50 | VAL MEAN LOSS: 0.002528231590986252
EPOCH 11 OF 50 | VAL MEAN LOSS: 0.0025140729267150164
EPOCH 12 OF 50 | VAL MEAN LOSS: 0.002529887016862631
EPOCH 13 OF 50 | VAL MEAN LOSS: 0.002507313620299101
EPOCH 14 OF 50 | VAL MEAN LOSS: 0.0025151411537081003
EPOCH 15 OF 50 | VAL MEAN LOSS: 0.0025038886815309525
EPOCH 16 OF 50 | VAL MEAN LOSS: 0.002530301921069622
EPOCH 17 OF 50 | VAL MEAN LOSS: 0.0025238273665308952
EPOCH 18 OF 50 | VAL MEAN LOSS: 0.002515205880627036
EPOCH 19 OF 50 | VAL MEAN LOSS: 0.002505300100892782
EPOCH 20 OF 50 | VAL MEAN LOSS: 0.0024944504257291555
EPOCH 21 OF 50 | VAL MEAN LOSS: 0.0024897675029933453
EPOCH 22 OF 50 | VAL MEAN LOSS: 0.0024947028141468763
EPOCH 23 OF 50 | VAL MEAN LOSS: 0.0025003429036587477
EPOCH 24 OF 50 | VAL MEAN LOSS: 0.0024898527190089226
EPOCH 25 OF 50 | VAL MEAN LOSS: 0.002474940847605467
EPOCH 26 OF 50 | VAL MEAN LOSS: 0.002469280967488885
EPOCH 27 OF 50 | VAL MEAN LOSS: 0.0024673191364854574
EPOCH 28 OF 50 | VAL MEAN LOSS: 0.002473852364346385
EPOCH 29 OF 50 | VAL MEAN LOSS: 0.00246299896389246
EPOCH 30 OF 50 | VAL MEAN LOSS: 0.002461014548316598
EPOCH 31 OF 50 | VAL MEAN LOSS: 0.0024610755499452353
EPOCH 32 OF 50 | VAL MEAN LOSS: 0.002489483682438731
EPOCH 33 OF 50 | VAL MEAN LOSS: 0.0024784551933407784
EPOCH 34 OF 50 | VAL MEAN LOSS: 0.0024702802766114473
EPOCH 35 OF 50 | VAL MEAN LOSS: 0.0024650634732097387
EPOCH 36 OF 50 | VAL MEAN LOSS: 0.0024598906747996807
EPOCH 37 OF 50 | VAL MEAN LOSS: 0.0024565947242081165
EPOCH 38 OF 50 | VAL MEAN LOSS: 0.0024535830598324537
EPOCH 39 OF 50 | VAL MEAN LOSS: 0.002453210763633251
EPOCH 40 OF 50 | VAL MEAN LOSS: 0.0024540340527892113
EPOCH 41 OF 50 | VAL MEAN LOSS: 0.002461592201143503
EPOCH 42 OF 50 | VAL MEAN LOSS: 0.0024553779512643814
EPOCH 43 OF 50 | VAL MEAN LOSS: 0.0024549535010010004
EPOCH 44 OF 50 | VAL MEAN LOSS: 0.0024507984053343534
EPOCH 45 OF 50 | VAL MEAN LOSS: 0.002446545520797372
EPOCH 46 OF 50 | VAL MEAN LOSS: 0.002440305892378092
EPOCH 47 OF 50 | VAL MEAN LOSS: 0.0024324834812432528
EPOCH 48 OF 50 | VAL MEAN LOSS: 0.0024260482750833035
EPOCH 49 OF 50 | VAL MEAN LOSS: 0.00242137024179101
EPOCH 50 OF 50 | VAL MEAN LOSS: 0.0024180887266993523
TEST MEAN LOSS: 0.002432843204587698
